Date,Open,High,Low,Close
2023-07-21,0.31604,0.31806,0.31107,0.31329
2023-07-22,0.31332,0.31481,0.30736,0.30977
2023-07-23,0.30984,0.31853,0.30838,0.31716
2023-07-24,0.31716,0.3186,0.30143,0.30531
2023-07-25,0.30531,0.30734,0.30233,0.30402
2023-07-26,0.304,0.3103,0.30088,0.30664
2023-07-27,0.3066,0.31302,0.30599,0.30753
2023-07-28,0.30752,0.3127,0.30674,0.3102
2023-07-29,0.3102,0.31425,0.30926,0.31277
2023-07-30,0.31276,0.31781,0.30738,0.31563
2023-07-31,0.31558,0.31772,0.30689,0.30749
2023-08-01,0.30749,0.30995,0.29913,0.30995
2023-08-02,0.31,0.31127,0.29901,0.29939
2023-08-03,0.29939,0.30102,0.29092,0.29258
2023-08-04,0.29252,0.29688,0.2909,0.29339
2023-08-05,0.29339,0.29366,0.29047,0.29363
2023-08-06,0.29363,0.29531,0.2908,0.29208
2023-08-07,0.29208,0.29518,0.28441,0.2903
2023-08-08,0.29031,0.30209,0.28962,0.29774
2023-08-09,0.29777,0.30188,0.29649,0.30114
2023-08-10,0.30116,0.30133,0.29609,0.29613
2023-08-11,0.29615,0.29717,0.29252,0.29345
2023-08-12,0.29345,0.29433,0.29108,0.29184
2023-08-13,0.29183,0.2932,0.28778,0.28953
2023-08-14,0.28953,0.29207,0.28782,0.29061
2023-08-15,0.29062,0.29065,0.27804,0.28182
2023-08-16,0.28182,0.28261,0.26765,0.27453
2023-08-17,0.27452,0.27786,0.24579,0.25596
2023-08-18,0.25598,0.26678,0.25561,0.26389
2023-08-19,0.2639,0.26944,0.26102,0.26838
2023-08-20,0.26839,0.27255,0.26538,0.27071
2023-08-21,0.2707,0.27188,0.26165,0.26318
2023-08-22,0.26315,0.26328,0.2523,0.25837
2023-08-23,0.25837,0.26928,0.25825,0.26796
2023-08-24,0.26797,0.27102,0.26256,0.26588
2023-08-25,0.26588,0.27006,0.25971,0.26108
2023-08-26,0.26107,0.26161,0.25846,0.26095
2023-08-27,0.26096,0.26494,0.26031,0.26345
2023-08-28,0.26345,0.26761,0.25877,0.26743
2023-08-29,0.26742,0.27857,0.26056,0.27245
2023-08-30,0.27246,0.27282,0.2614,0.26565
2023-08-31,0.26568,0.26616,0.25252,0.25537
2023-09-01,0.25537,0.25856,0.25268,0.25519
2023-09-02,0.25519,0.2572,0.25427,0.25623
2023-09-03,0.25624,0.25661,0.25359,0.25579
2023-09-04,0.2558,0.25947,0.25401,0.25615
2023-09-05,0.25615,0.25826,0.25437,0.25761
2023-09-06,0.25762,0.25927,0.2534,0.25767
2023-09-07,0.25767,0.25913,0.25341,0.25772
2023-09-08,0.25774,0.25911,0.25303,0.25437
2023-09-09,0.25438,0.25563,0.25337,0.25349
2023-09-10,0.2535,0.2535,0.24546,0.24905
2023-09-11,0.24904,0.24938,0.23763,0.24187
2023-09-12,0.24187,0.25133,0.2411,0.24587
2023-09-13,0.24587,0.24972,0.24392,0.24888
2023-09-14,0.24888,0.25227,0.24693,0.25118
2023-09-15,0.25119,0.25468,0.2457,0.25064
2023-09-16,0.2506,0.25361,0.24887,0.25044
2023-09-17,0.25043,0.25117,0.2458,0.24732
2023-09-18,0.24733,0.25587,0.24512,0.25174
2023-09-19,0.25174,0.25754,0.25123,0.25526
2023-09-20,0.25527,0.25603,0.251,0.25163
2023-09-21,0.25164,0.25291,0.24544,0.24545
2023-09-22,0.24546,0.24638,0.24324,0.24492
2023-09-23,0.24492,0.24667,0.244,0.24613
2023-09-24,0.24614,0.24623,0.24257,0.24303
2023-09-25,0.24303,0.24606,0.24218,0.24588
2023-09-26,0.24587,0.2474,0.24395,0.2454
2023-09-27,0.24539,0.24792,0.24311,0.24479
2023-09-28,0.24479,0.25044,0.2435,0.24912
2023-09-29,0.24911,0.25545,0.24797,0.24954
2023-09-30,0.24954,0.25467,0.24932,0.25405
2023-10-01,0.25404,0.26747,0.25402,0.2659
